Vuelos
ARKK
ARKKD
DIA
DIAD
EEM
EEMD
EWZ
EWZD
IWM
IWMD
QQQ
QQQD
SPY
SPYD
XLE
XLED
XLF
XLFD
AAL
AAPL
AAPLC
AAPLD
ABBV
ABBVD
ABEV
ABNB
ABT
ABTD
ADBE
ADGO
ADI
AEM
AIG
AKO.B
AMAT
AMD
AMDD
AMGN
AMX
AMXD
AMZN
AMZNC
AMZND
AOCAD
ARCO
AUY
AVGO
AVGOD
AVY
AXP
AXPD
AZN
AZND
BA
BA.C
BA.CD
BABA
BABAC
BABAD
BAD
BB
BBD
BBDC
BBDD
BBV
BCS
BHP
BIDU
BIDUD
BIIB
BIOX
BIOXD
BITF
BK
BMY
BNG
BP
BPD
BRFS
BRKB
BRKBD
BSBR
C
C.D
CAAP
CAH
CAHD
CAR
CAT
CATD
CDE
CL
COIN
COST
CRM
CS
CSCO
CSCOD
CVX
CVXD
CX
DD
DE
DESP
DESPD
DISN
DISND
DOCU
DOCUD
DOW
EA
EBAY
EBAYD
EBR
EFX
EFXD
ERIC
ERJ
ERJD
ETSY
ETSYD
F
FCX
FDX
FDXD
FMX
FMXD
FSLR
GE
GEC
GFI
GGB
GILD
GILDC
GILDD
GLOB
GLOBD
GLW
GM
GOGLD
GOLD
GOLDC
GOLDD
GOOGL
GPRK
GRMN
GS
GSD
GSK
GSKC
GSKD
HAL
HD
HL
HMC
HMY
HMYD
HOG
HON
HPQ
HSBC
HSY
HUT
HWM
HWMD
IBM
IBMD
INTC
INTCD
IP
ITUB
ITUBD
JD
JMIA
JNJ
JNJC
JNJD
JPM
JPMD
KMB
KMBC
KO
KOC
KOD
LLY
LMT
LMTD
LRCX
LVS
LYG
MA
MAD
MCD
MCDD
MDT
MELI
MELIC
MELID
META
METAC
METAD
MMC
MMM
MMMD
MO
MOD
MOS
MRK
MRKD
MSFT
MSFTC
MSFTD
MSI
MSTR
MU
NEM
NEMD
NFLX
NFLXD
NGG
NIO
NKE
NKED
NOKA
NTCO
NTES
NUE
NVDA
NVDAD
NVS
NVSD
OGZD
OGZDD
ORAN
ORCL
OXY
PAAS
PANW
PBI
PBR
PBRD
PCAR
PEP
PFE
PFED
PG
PGD
PHG
PKS
PSX
PSXD
PYPL
PYPLD
QCOM
QCOMC
QCOMD
RBLX
RIO
RIOD
RTX
SAN
SAP
SATL
SBS
SBUX
SCCO
SE
SHEL
SHOP
SHOPD
SI
SID
SLB
SLBD
SNA
SNAP
SNOW
SNOWD
SONY
SPGI
SPOT
SPOTD
SQ
SQD
SUZ
T
TD
TEFO
TEN
TEND
TGT
TIMB
TM
TMD
TMO
TRIP
TSLA
TSLAC
TSLAD
TSM
TTE
TV
TWLO
TWTR
TWTRD
TXN
TXR
TXRD
UAL
UBER
UGP
UL
UNH
UNHD
UNP
UNPD
UPST
USB
V
VALE
VALED
VD
VIST
VISTD
VIV
VOD
VRSN
VZ
VZD
WBA
WFC
WFCC
WFCD
WMT
WMTD
X
XD
XOM
XOMD
XP
XROX
YELP
ZM
ZMD
